temperature,city,pressure,date
5.81,Berlin,1012,2023-11-18 13:15
11.38,Paris,1018,2023-11-18 13:15
14.72,London,1007,2023-11-18 13:15
5.81,Berlin,1012,2023-11-18 13:14
11.38,Paris,1018,2023-11-18 13:14
14.72,London,1007,2023-11-18 13:14
5.81,Berlin,1012,2023-11-18 13:13
11.38,Paris,1018,2023-11-18 13:13
14.72,London,1007,2023-11-18 13:13
5.81,Berlin,1012,2023-11-18 13:12
11.38,Paris,1018,2023-11-18 13:12
14.72,London,1007,2023-11-18 13:12
5.81,Berlin,1012,2023-11-18 13:11
11.38,Paris,1018,2023-11-18 13:11
14.72,London,1007,2023-11-18 13:11
5.81,Berlin,1012,2023-11-18 13:10
11.38,Paris,1018,2023-11-18 13:10
14.72,London,1007,2023-11-18 13:10
5.81,Berlin,1012,2023-11-18 13:09
11.38,Paris,1018,2023-11-18 13:09
14.7,London,1007,2023-11-18 13:09
5.81,Berlin,1012,2023-11-18 13:08
11.38,Paris,1018,2023-11-18 13:08
14.7,London,1007,2023-11-18 13:08
5.81,Berlin,1012,2023-11-18 13:07
11.38,Paris,1018,2023-11-18 13:07
14.7,London,1007,2023-11-18 13:07
5.81,Berlin,1012,2023-11-18 13:06
11.37,Paris,1018,2023-11-18 13:06
14.7,London,1007,2023-11-18 13:06
5.85,Berlin,1013,2023-11-18 13:05
11.37,Paris,1018,2023-11-18 13:05
14.7,London,1007,2023-11-18 13:05
5.85,Berlin,1013,2023-11-18 13:04
11.37,Paris,1018,2023-11-18 13:04
14.7,London,1007,2023-11-18 13:04
5.85,Berlin,1013,2023-11-18 13:03
11.37,Paris,1018,2023-11-18 13:03
14.7,London,1007,2023-11-18 13:03
5.85,Berlin,1013,2023-11-18 13:02
11.37,Paris,1018,2023-11-18 13:02
14.7,London,1007,2023-11-18 13:02
5.85,Berlin,1013,2023-11-18 13:01
11.37,Paris,1018,2023-11-18 13:01
14.7,London,1007,2023-11-18 13:01
5.85,Berlin,1013,2023-11-18 12:59
11.37,Paris,1018,2023-11-18 12:59
14.7,London,1007,2023-11-18 12:59
5.85,Berlin,1013,2023-11-18 12:58
11.37,Paris,1018,2023-11-18 12:58
14.71,London,1007,2023-11-18 12:58
5.85,Berlin,1013,2023-11-18 12:57
11.37,Paris,1018,2023-11-18 12:57
14.71,London,1007,2023-11-18 12:57
5.85,Berlin,1013,2023-11-18 12:56
11.27,Paris,1018,2023-11-18 12:56
14.71,London,1007,2023-11-18 12:56
5.85,Berlin,1013,2023-11-18 12:55
11.27,Paris,1018,2023-11-18 12:55
14.71,London,1007,2023-11-18 12:55
5.93,Berlin,1013,2023-11-18 12:54
11.27,Paris,1018,2023-11-18 12:54
14.71,London,1007,2023-11-18 12:54
5.93,Berlin,1013,2023-11-18 12:53
11.27,Paris,1018,2023-11-18 12:53
14.71,London,1007,2023-11-18 12:53
5.93,Berlin,1013,2023-11-18 12:52
11.27,Paris,1018,2023-11-18 12:52
14.71,London,1007,2023-11-18 12:52
5.73,Berlin,1013,2023-11-18 12:47
11.16,Paris,1018,2023-11-18 12:47
14.69,London,1007,2023-11-18 12:47
5.73,Berlin,1013,2023-11-18 12:46
11.16,Paris,1018,2023-11-18 12:46
14.69,London,1007,2023-11-18 12:46
5.73,Berlin,1013,2023-11-18 12:44
11.16,Paris,1018,2023-11-18 12:44
14.69,London,1007,2023-11-18 12:44
5.73,Berlin,1013,2023-11-18 12:42
11.19,Paris,1018,2023-11-18 12:42
14.69,London,1007,2023-11-18 12:42
5.73,Berlin,1013,2023-11-18 12:40
11.19,Paris,1018,2023-11-18 12:40
14.59,London,1007,2023-11-18 12:40
5.89,Berlin,1013,2023-11-18 12:38
11.19,Paris,1018,2023-11-18 12:38
14.59,London,1007,2023-11-18 12:38
5.89,Berlin,1013,2023-11-18 12:37
11.19,Paris,1018,2023-11-18 12:37
14.59,London,1007,2023-11-18 12:37
5.89,Berlin,1013,2023-11-18 12:33
11.1,Paris,1018,2023-11-18 12:33
14.59,London,1007,2023-11-18 12:33
5.89,Berlin,1013,2023-11-18 12:30
11.1,Paris,1018,2023-11-18 12:30
14.54,London,1007,2023-11-18 12:30
5.79,Berlin,1013,2023-11-18 12:27
11.1,Paris,1018,2023-11-18 12:27
14.54,London,1007,2023-11-18 12:27
5.79,Berlin,1013,2023-11-18 12:26
11.1,Paris,1018,2023-11-18 12:26
14.54,London,1007,2023-11-18 12:26
5.79,Berlin,1013,2023-11-18 12:20
11.07,Paris,1018,2023-11-18 12:20
14.49,London,1007,2023-11-18 12:20
5.82,Berlin,1013,2023-11-18 12:03
10.65,Paris,1019,2023-11-18 12:03
14.43,London,1007,2023-11-18 12:03
5.82,Berlin,1013,2023-11-18 12:02
10.65,Paris,1019,2023-11-18 12:02
14.43,London,1007,2023-11-18 12:02
5.75,Berlin,1013,2023-11-18 11:22
10.37,Paris,1019,2023-11-18 11:22
14.27,London,1009,2023-11-18 11:22
5.75,Berlin,1013,2023-11-18 11:21
10.37,Paris,1019,2023-11-18 11:21
14.27,London,1009,2023-11-18 11:21
5.75,Berlin,1013,2023-11-18 11:19
10.33,Paris,1019,2023-11-18 11:19
14.27,London,1009,2023-11-18 11:19
5.73,Berlin,1013,2023-11-18 11:18
10.33,Paris,1019,2023-11-18 11:18
14.18,London,1009,2023-11-18 11:18
5.73,Berlin,1013,2023-11-18 11:17
10.33,Paris,1019,2023-11-18 11:17
14.18,London,1009,2023-11-18 11:17
5.73,Berlin,1013,2023-11-18 11:16
10.33,Paris,1019,2023-11-18 11:16
14.18,London,1009,2023-11-18 11:16
5.73,Berlin,1013,2023-11-18 11:14
10.33,Paris,1019,2023-11-18 11:14
14.18,London,1009,2023-11-18 11:14
5.73,Berlin,1013,2023-11-18 11:13
10.33,Paris,1019,2023-11-18 11:13
14.18,London,1009,2023-11-18 11:13
5.73,Berlin,1013,2023-11-18 11:12
10.33,Paris,1019,2023-11-18 11:12
14.18,London,1009,2023-11-18 11:12
5.73,Berlin,1013,2023-11-18 11:07
10.2,Paris,1019,2023-11-18 11:07
14.0,London,1008,2023-11-18 11:07
5.61,Berlin,1013,2023-11-18 10:58
10.19,Paris,1019,2023-11-18 10:58
13.98,London,1008,2023-11-18 10:58
5.61,Berlin,1013,2023-11-18 10:57
10.19,Paris,1019,2023-11-18 10:57
13.98,London,1008,2023-11-18 10:57
5.06,Berlin,1012,2023-11-18 10:19
9.23,Paris,1021,2023-11-18 10:19
12.65,London,1008,2023-11-18 10:19
4.83,Berlin,1008,2023-11-17 22:01
8.87,Paris,1025,2023-11-17 22:01
7.37,London,1021,2023-11-17 22:01
4.83,Berlin,1008,2023-11-17 21:56
8.79,Paris,1025,2023-11-17 21:56
7.31,London,1021,2023-11-17 21:56
4.83,Berlin,1008,2023-11-17 21:53
8.79,Paris,1025,2023-11-17 21:53
7.31,London,1021,2023-11-17 21:53
4.86,Berlin,1008,2023-11-17 21:43
8.83,Paris,1024,2023-11-17 21:43
7.18,London,1021,2023-11-17 21:43
4.79,Berlin,1008,2023-11-17 21:42
8.8,Paris,1024,2023-11-17 21:42
7.18,London,1021,2023-11-17 21:42
4.79,Berlin,1008,2023-11-17 21:39
8.78,Paris,1024,2023-11-17 21:39
7.18,London,1021,2023-11-17 21:39
4.79,Berlin,1008,2023-11-17 21:37
8.78,Paris,1024,2023-11-17 21:37
7.18,London,1021,2023-11-17 21:37
4.79,Berlin,1008,2023-11-17 20:57
8.76,Paris,1024,2023-11-17 20:57
7.06,London,1022,2023-11-17 20:57
4.83,Berlin,1008,2023-11-17 20:52
8.76,Paris,1024,2023-11-17 20:52
7.05,London,1022,2023-11-17 20:52
4.83,Berlin,1008,2023-11-17 20:51
8.76,Paris,1024,2023-11-17 20:51
7.05,London,1022,2023-11-17 20:51
4.83,Berlin,1007,2023-11-17 20:40
8.32,Paris,1024,2023-11-17 20:40
7.06,London,1022,2023-11-17 20:40
4.83,Berlin,1007,2023-11-17 20:36
8.14,Paris,1024,2023-11-17 20:36
7.06,London,1022,2023-11-17 20:36
4.89,Berlin,1007,2023-11-17 20:35
8.14,Paris,1024,2023-11-17 20:35
7.06,London,1022,2023-11-17 20:35
4.89,Berlin,1007,2023-11-17 20:32
8.14,Paris,1024,2023-11-17 20:32
7.0,London,1022,2023-11-17 20:32
4.89,Berlin,1007,2023-11-17 20:30
8.14,Paris,1024,2023-11-17 20:30
7.0,London,1022,2023-11-17 20:30
4.84,Berlin,1007,2023-11-17 20:24
8.11,Paris,1024,2023-11-17 20:24
7.0,London,1022,2023-11-17 20:24
4.84,Berlin,1007,2023-11-17 20:23
8.11,Paris,1024,2023-11-17 20:23
6.96,London,1022,2023-11-17 20:23
4.84,Berlin,1007,2023-11-17 20:21
8.14,Paris,1024,2023-11-17 20:21
6.91,London,1022,2023-11-17 20:21
